Altium Designer Pick and Place Locations
C:\Users\Stephen\Code\XCKU5P-Development-Notes\Altium\Breakout Board\Project Outputs for Breakout Board\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       21/03/26
Time:       19:18
Revision:   5c266a45b67421a1b29ec60a845816c3e7e6f1b1
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"SW13","TS-1185-B-A-B-A","TopLayer","TS-1185-B-A-B-A","11505.000","5758.380","90",""
"SW12","TS-1185-B-A-B-A","TopLayer","TS-1185-B-A-B-A","11183.333","5758.380","90",""
"SW11","TS-1185-B-A-B-A","TopLayer","TS-1185-B-A-B-A","10861.667","5758.380","90",""
"SW10","TS-1185-B-A-B-A","TopLayer","TS-1185-B-A-B-A","10540.000","5758.380","90",""
"R1","0402WGF2001TCE","TopLayer","RES-0402","10770.000","9060.000","0","Resistor, 2kO, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402"
"R2","0402WGF1001TCE","TopLayer","RES-0402","10770.000","9165.000","0","Resistor, 1kO, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402"
"R3","0402WGF5100TCE","TopLayer","RES-0402","10770.000","9260.000","0","Resistor, 510O, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402"
"R4","0402WGF2001TCE","TopLayer","RES-0402","10510.000","8960.000","0","Resistor, 2kO, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402"
"R5","0402WGF1001TCE","TopLayer","RES-0402","10510.000","9065.000","0","Resistor, 1kO, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402"
"R6","0402WGF5100TCE","TopLayer","RES-0402","10510.000","9160.000","0","Resistor, 510O, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402"
"R7","0603WAF8200T5E","TopLayer","RES-0603","10515.000","8865.000","0","Resistor, 820O, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603"
"R8","0402WGF5100TCE","TopLayer","RES-0402","10520.000","8765.000","0","Resistor, 510O, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402"
"R9","0603WAF470JT5E","TopLayer","RES-0603","10785.000","8815.000","0","Resistor, 47O, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603"
"R10","0603WAF470JT5E","TopLayer","RES-0603","10785.000","8720.000","0","Resistor, 47O, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603"
"R32","0402WGF2000TCE","TopLayer","RES-0402","11380.000","6215.000","90","Resistor, 200O, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402"
"R31","0402WGF2000TCE","TopLayer","RES-0402","11235.000","6215.000","90","Resistor, 200O, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402"
"R30","0402WGF2000TCE","TopLayer","RES-0402","11090.000","6215.000","90","Resistor, 200O, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402"
"R29","0402WGF2000TCE","TopLayer","RES-0402","10945.000","6215.000","90","Resistor, 200O, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402"
"R28","0402WGF2000TCE","TopLayer","RES-0402","10800.000","6215.000","90","Resistor, 200O, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402"
"R27","0402WGF2000TCE","TopLayer","RES-0402","10655.000","6215.000","90","Resistor, 200O, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402"
"R26","0402WGF2000TCE","TopLayer","RES-0402","10510.000","6215.000","90","Resistor, 200O, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402"
"R25","0402WGF2000TCE","TopLayer","RES-0402","10365.000","6215.000","90","Resistor, 200O, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402"
"LED7","LTST-C190KRKT","TopLayer","LEDC1608X80N","10365.000","6330.000","270","LED"
"LED6","LTST-C190KRKT","TopLayer","LEDC1608X80N","10509.286","6330.000","270","LED"
"LED5","LTST-C190KRKT","TopLayer","LEDC1608X80N","10653.571","6330.000","270","LED"
"LED1","LTST-C190KRKT","TopLayer","LEDC1608X80N","11230.714","6330.000","270","LED"
"LED2","LTST-C190KRKT","TopLayer","LEDC1608X80N","11086.428","6330.000","270","LED"
"LED4","LTST-C190KRKT","TopLayer","LEDC1608X80N","10797.857","6330.000","270","LED"
"LED0","LTST-C190KRKT","TopLayer","LEDC1608X80N","11375.000","6330.000","270","LED"
"LED3","LTST-C190KRKT","TopLayer","LEDC1608X80N","10942.143","6330.000","270","LED"
"R24","0603WAF1002T5E","TopLayer","RES-0603","11505.000","6055.000","90","Resistor, 10kO, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603"
"R23","0603WAF1002T5E","TopLayer","RES-0603","11180.000","6055.000","90","Resistor, 10kO, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603"
"R22","0603WAF1002T5E","TopLayer","RES-0603","10870.000","6055.000","90","Resistor, 10kO, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603"
"R21","0603WAF1002T5E","TopLayer","RES-0603","10560.000","6055.000","90","Resistor, 10kO, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603"
"SW9","JS202011JCQN","TopLayer","FP-JS202011JCQN-MFG","7782.244","5795.000","270","SWITCH SLIDE DPDT 300MA 6V"
"SW8","JS202011JCQN","TopLayer","FP-JS202011JCQN-MFG","8032.244","5795.000","270","SWITCH SLIDE DPDT 300MA 6V"
"SW7","JS202011JCQN","TopLayer","FP-JS202011JCQN-MFG","8282.244","5795.000","270","SWITCH SLIDE DPDT 300MA 6V"
"SW6","JS202011JCQN","TopLayer","FP-JS202011JCQN-MFG","8532.244","5795.000","270","SWITCH SLIDE DPDT 300MA 6V"
"SW5","JS202011JCQN","TopLayer","FP-JS202011JCQN-MFG","8777.244","5795.000","270","SWITCH SLIDE DPDT 300MA 6V"
"SW4","JS202011JCQN","TopLayer","FP-JS202011JCQN-MFG","9027.244","5795.000","270","SWITCH SLIDE DPDT 300MA 6V"
"SW3","JS202011JCQN","TopLayer","FP-JS202011JCQN-MFG","9277.244","5795.000","270","SWITCH SLIDE DPDT 300MA 6V"
"SW2","JS202011JCQN","TopLayer","FP-JS202011JCQN-MFG","9527.244","5795.000","270","SWITCH SLIDE DPDT 300MA 6V"
"SW1","JS202011JCQN","TopLayer","FP-JS202011JCQN-MFG","9772.244","5795.000","270","SWITCH SLIDE DPDT 300MA 6V"
"SW0","JS202011JCQN","TopLayer","FP-JS202011JCQN-MFG","10022.244","5795.000","270","SWITCH SLIDE DPDT 300MA 6V"
"R20","0603WAF1002T5E","TopLayer","RES-0603","7860.000","6052.677","90","Resistor, 10kO, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603"
"R19","0603WAF1002T5E","TopLayer","RES-0603","8105.000","6050.000","90","Resistor, 10kO, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603"
"R18","0603WAF1002T5E","TopLayer","RES-0603","8355.000","6048.543","90","Resistor, 10kO, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603"
"R17","0603WAF1002T5E","TopLayer","RES-0603","8600.000","6050.000","90","Resistor, 10kO, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603"
"R16","0603WAF1002T5E","TopLayer","RES-0603","8850.000","6047.677","90","Resistor, 10kO, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603"
"R15","0603WAF1002T5E","TopLayer","RES-0603","9100.000","6047.677","90","Resistor, 10kO, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603"
"R14","0603WAF1002T5E","TopLayer","RES-0603","9355.000","6052.677","90","Resistor, 10kO, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603"
"R13","0603WAF1002T5E","TopLayer","RES-0603","9595.000","6055.000","90","Resistor, 10kO, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603"
"R12","0603WAF1002T5E","TopLayer","RES-0603","9850.000","6052.677","90","Resistor, 10kO, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603"
"R11","0603WAF1002T5E","TopLayer","RES-0603","10095.000","6055.000","90","Resistor, 10kO, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603"
"J6","DM3AT-SF-PEJM5","TopLayer","DM3ATSFPEJM5","11430.433","8022.047","90","Connector"
